Old,New
Sleep disturbance,Sleep that is restless or disturbed: Waking up frequently throughout the night or tossing and turning instead of sleeping soundly.
,
,
,"3. Mood, Anxiety & Calmness"
,Positive
,"Inner Serenity (Calmness): Feeling peaceful, relaxed, and anchored on the inside, even when things are busy around you."
,"Nervous System Ease (Regulation): A physical sense of stability and calmness, where your heart rate and breathing feel steady and calm."
,"Emotional Balance: Experiencing emotions that feel manageable and steady, without extreme, overwhelming swings."
,"Patient Presence: Feeling content to be where you are right now, without an urgent, anxious rush to get things done."
,Negative
Emotional dysregulation,Intense mood swings: Emotions that bounce between extreme highs and lows very quickly and intensely.
,"Nervousness or shakiness inside: Feeling jittery, trembling, or anxious on the inside, even if others can't see it."
,"Trembling: Involuntary shaking or trembling in your hands, arms, or other parts of your body."
,Suddenly scared for no reason: Feeling sudden waves of fear or anxiety without any obvious trigger or cause.
,"Feeling fearful: Feeling scared, frightened, or anxious about things in general."
Heart racing,"Pounding heart (Heart pounding or racing): Feeling your heart racing, pounding, or fluttering in your chest."
,"Feeling tense or keyed up: Feeling high-strung, on edge, or unable to relax."
,"Spells of terror or panic: Sudden, overwhelming episodes of extreme fear, dread, or panic."
,"Feeling so restless you couldn't sit still: Feeling an intense inner urge to move, pace, or fidget constantly."
,"Feeling pushed to get things done: An urgent, internal pressure to accomplish tasks, leaving you unable to rest."
,
,
,"4. Hope, Outlook & Self-Worth"
,Positive
,Hope and Optimism: Believing that good things will happen and feeling confident and positive about your future.
,"Self-Compassion: Being kind and understanding to yourself when you make mistakes or face difficulties, rather than blaming yourself."
,"Meaning and Purpose: Feeling that your life has direction, value, and that what you do matters."
,Gratitude and Joy: Feeling appreciation for the positive aspects of your life and experiencing moments of pure happiness or pleasure.
,Negative
Emptiness,"Feeling chronically empty: A heavy, persistent feeling of numbness, boredom, or a ""void"" inside that won't go away."
,Loss of sexual interest or pleasure: Finding that your sex drive has significantly dropped or that sexual activity is no longer enjoyable.
,"Feeling low in energy or slowed down: Feeling physically and mentally drained, making tasks take much longer or feel harder."
Self-harm ideation,"Urges to hurt yourself (Thoughts of ending your life): Having thoughts of ending your life, or physically hurting yourself (like cutting or hitting) to cope with emotional pain."
,Crying easily: Finding yourself tearing up or crying over small things or for no clear reason.
,"Feeling of being trapped or caught: Feeling stuck in your life, relationships, or circumstances with no way out."
,Blaming yourself for things: Constantly taking the blame or feeling responsible for problems that aren't your fault.
,"Feeling lonely: Feeling isolated, disconnected, or lacking meaningful connection with others."
,"Feeling blue: Feeling sad, down, or unhappy."
,"Worrying too much about things: Being unable to stop thinking about potential problems, fears, or future events."
,"Feeling no interest in things: Losing interest in hobbies, work, or activities you normally enjoy."
,Feeling hopeless about the future: Believing that things will never get better and that there is nothing to look forward to.
,"Thoughts of death or dying: Having thoughts about death, dying, or what it would be like if you weren't here."
,"Feeling everything is an effort: Even simple, everyday tasks like getting out of bed or brushing your teeth feel like a massive struggle."
,"Feelings of worthlessness: Feeling like you have no value, don't matter, or have nothing good to offer."
,"Feelings of guilt: Carrying a heavy sense of shame or regret, feeling like you have done something wrong."
,
,
,"5. Temper, Calm & Communication"
,Positive
,"Constructive Communication: Expressing your feelings and needs calmly and assertively, without escalating into fights."
,"Patience and Calm Reflection: The ability to pause, breathe, and think before responding when you feel irritated or provoked."
,"Interpersonal Empathy: Seeking to understand where another person is coming from, even when you disagree."
,Inner Peace (Non-reactivity): Feeling secure enough in yourself that other people's behavior doesn't easily trigger anger or defensiveness.
,Negative
Intense anger,"Intense anger: Having a very short fuse, feeling enraged, or frequently using harsh sarcasm and snapping at people."
Impulsivity,"Acting without thinking: Doing reckless things in the heat of the moment to cope (like binge eating, blowing money, heavy drinking, or lashing out)."
Conflict escalation,Blowing things up: Taking a small disagreement and escalating it into a massive fight.
Circular arguing,Arguing in circles: Having the same fights over and over without ever finding a resolution.
,Feeling easily annoyed or irritated: Having a short fuse and getting bothered or frustrated by small things.
,Temper outbursts that you could not control: Losing your temper and reacting with explosive anger that feels impossible to stop.
,"Having urges to beat, injure, or harm someone: Feeling a sudden, strong desire to physically hurt another person."
,"Having urges to break or smash things: Feeling a strong urge to throw, break, or destroy physical objects when angry or frustrated."
,"Getting into frequent arguments: Finding yourself constantly clashing, bickering, or fighting with others."
,"Shouting or throwing things: Reacting to anger by raising your voice, yelling, or throwing objects."
,
,
,6. Relationships & Social Safety
,Positive
,"Secure Connection: Feeling safe, stable, and secure in your relationships, knowing you are valued for who you are."
,"Interpersonal Warmth: Feeling close to others, enjoying their company, and feeling mutual care and affection."
,"Social Ease (Confidence): Feeling comfortable, relaxed, and authentic when interacting with or meeting new people."
,"Deeply Understood: The comforting feeling that the people in your life genuinely listen to you, see you, and care about your experiences."
,Negative
Abandonment avoidance,"Terrified of being left: Feeling desperate to stop someone from leaving you, which can lead to clinging, begging, or constantly needing reassurance."
,"Rollercoaster relationships: Friendships or romantic relationships filled with constant drama, intense arguments, and frequent breakups."
,"Feeling critical of others: Constantly focusing on other people's flaws, mistakes, or shortcomings."
,"Feeling shy or uneasy with the opposite sex: Feeling nervous, awkward, or self-conscious when interacting with people of the opposite sex."
,"Your feelings being easily hurt: Being highly sensitive to criticism, comments, or the actions of others."
Feeling unheard,"Feeling totally unheard (Feeling others do not understand you): The painful sense that no matter how you explain yourself, other people aren't listening, don't understand you, or don't care."
,Feeling that people are unfriendly or dislike you: Believing that others are hostile toward you or don't want you around.
,"Feeling inferior to others: Feeling like you are not as good, smart, attractive, or successful as the people around you."
,"Feeling uneasy when people are watching or talking about you: Feeling extremely self-conscious, tense, or uncomfortable in public spaces."
,Feeling very self-conscious with others: Feeling intensely awkward or worried about how you appear when socializing.
,Feeling uncomfortable about eating or drinking in public: Worrying that others are watching or judging you when you eat or drink in front of them.
,
,
,"7. Trust, Boundaries & Autonomy"
,Positive
,Interpersonal Trust: Feeling safe to trust others and assuming good intentions unless proven otherwise.
,"Healthy Personal Boundaries: Clearly knowing and respecting your own limits, and communicating them gently but firmly to others."
,"Respect for Others' Limits: Naturally respecting other people's privacy, personal space, and boundaries without feeling rejected or needing to control them."
,"Mutual Cooperation: Engaging in equal, balanced relationships where power is shared and both parties respect each other's autonomy."
,Negative
Controlling behavior,"Controlling behavior: Trying to micromanage what other people do, who they see, or how they act."
Privacy violation,"Invading privacy: Snooping through phones, journals, or personal spaces."
Boundary crossing,Ignoring boundaries: Disrespecting the limits other people have set.
Boundary testing,Pushing buttons: Testing people's rules or limits just to see how much you can get away with.
Being positioned as the aggressor,Feeling others are to blame for most of your troubles: Pointing fingers at others rather than looking at your own role in problems (also Being positioned as the aggressor)
,"Constant suspicion (Feeling that most people cannot be trusted): Finding it incredibly hard to trust people, often assuming they have bad intentions or are out to get you."
,"Feeling that you are watched or talked about by others: Believing that people are constantly paying attention to you, whispering, or gossip-mongering about you."
,"Having ideas or beliefs that others do not share: Holding strong, unusual beliefs or viewpoints that the people around you do not agree with."
,"Others not giving you proper credit for your achievements: Feeling like your hard work, successes, or efforts are ignored or unappreciated by others."
,Feeling that people will take advantage of you if you let them: Feeling guardedly protective because you believe others are looking for ways to exploit or use you.
,
,
,"8. Presence, Identity & Grounding"
,Positive
,"Grounded Presence (Mindfulness): Feeling fully present in the here-and-now, connected to your body and surroundings."
,"Clear Self-Identity (Authenticity): Knowing who you are, what you value, and feeling comfortable in your own skin regardless of who you are with."
,"Cognitive Coherence (Reality Alignment): Feeling that your perception of events is clear, steady, and shared with those around you."
,"Genuine Intimacy: The ability to share your true self with another person and feel a deep, warm emotional bond in return."
,Negative
,"Not knowing who you are: Feeling like a chameleon with no core personality, or constantly changing your beliefs, goals, and style depending on who you are around."
Narrative distortion; Reality distortion,Twisting the story: Remembering or explaining events in a way that is totally different from how they actually happened.
Emotional withdrawal,Shutting down: Completely pulling away from loved ones and hiding your emotions.
Stonewalling,"The silent treatment: Refusing to talk, answer questions, or engage at all during a conflict."
,Thinking someone else can control your thoughts: The frightening belief or feeling that your mind is being manipulated or directed by an outside force.
,"Hearing voices that other people do not hear: Experiencing auditory hallucinations, like hearing whispers, callings, or voices when alone."
,Thinking other people are aware of your private thoughts: Feeling like your inner mind is open and that others can read or perceive what you are thinking.
,Having thoughts that are not your own: Feeling like ideas or thoughts have been placed directly into your mind by someone or something else.
,"Feeling lonely even when you are with people: Feeling isolated and emotionally disconnected even when surrounded by friends, family, or crowds."
,"Spacing out or feeling unreal (Feeling that familiar things are strange or unreal): Zoning out so intensely that you feel disconnected from your own body, or feeling like the world around you is a dream, strange, or fake."
,"Having thoughts about sex that bother you a lot: Being distressed or troubled by persistent, unwanted sexual thoughts or fantasies."
,"The idea that you should be punished for your sins: A strong, distressing feeling that you are bad and deserve to suffer or be punished for your mistakes."
,"Never feeling close to another person: Feeling a deep, persistent barrier to forming emotional bonds or intimacy with anyone."
,"The idea that something is wrong with your mind: Worrying or feeling like your mental faculties, sanity, or thinking processes are breaking down."
,
,
,"9. Thoughts, Focus & Clarity"
,Positive
,"Cognitive Flexibility (Thinking Clearly): Having a clear, quiet mind that can easily focus on tasks, make decisions, and let go of repetitive thoughts."
,"Self-Trust and Confidence: Believing in your own judgment and decisions without needing to constantly check, double-check, or seek reassurance."
,"Mental Stillness: Having a quiet, calm mind free from intrusive thoughts, loops, or persistent worries."
,"Decisive Flow: Making choices with clarity and ease, then moving forward with confidence."
,Negative
,"Unwanted thoughts, words, or ideas that won't leave your mind: Intrusive thoughts or phrases that keep repeating in your head, even when you try to stop them."
,"Trouble remembering things: Having difficulty recalling recent events, details, conversations, or tasks."
,"Worried about sloppiness or carelessness: Feeling anxious that you will make mistakes, do a poor job, or leave things messy."
,Feeling blocked in getting things done: Feeling a mental barrier or paralysis that prevents you from starting or completing tasks.
,Having to do things very slowly to ensure correctness: Taking an excessively long time on simple tasks to make absolutely sure you don't make any errors.
,"Having to check and double-check what you do: Feeling compelled to repeatedly verify things (like locks, stoves, or written work) to feel safe or sure."
,"Difficulty making decisions: Feeling frozen, overwhelmed, or unable to choose between different options."
,Your mind going blank: Suddenly losing your train of thought or finding yourself unable to think of anything at all.
,"Trouble concentrating: Finding it hard to focus your attention on reading, working, listening, or other tasks."
,"Having to repeat the same actions (such as touching, counting, washing): Feeling a strong urge to perform repetitive physical behaviors or mental rituals to ease anxiety."
,
,
,10. Comfort Zones & Exploration
,Positive
,"Courage and Exploration: Feeling a sense of curiosity and willingness to try new things, go new places, and face challenges with confidence."
,"Situational Comfort: Feeling safe, relaxed, and at ease when out in public, in crowds, or traveling on public transportation."
,Environmental Mastery: Feeling capable and confident in navigating your physical and social surroundings.
,"Comfort in Solitude: Feeling safe, peaceful, and content when you are left alone, without feeling anxious or insecure."
,Negative
,"Feeling afraid in open spaces or on the streets: Feeling highly anxious or unsafe in large open areas, public plazas, or out on public roads."
,Feeling afraid to go out of your house alone: Feeling terrified of leaving the safety of your home without someone accompanying you.
,"Feeling afraid to travel on buses, subways, or trains: Feeling panic or intense anxiety when using public transportation."
,"Having to avoid certain things, places, or activities because they frighten you: Restricting your daily route or activities to steer clear of triggers that cause you fear."
,"Feeling uneasy in crowds (such as shopping or at a movie): Feeling anxious, trapped, or overwhelmed when surrounded by groups of people."
,"Feeling nervous when you are left alone: Feeling anxious, insecure, or unsafe when there is no one else around you."
,Feeling afraid you will faint in public: Worrying that you will lose consciousness and collapse where others can see you.
,
